D_COD_CLIENTE	D_FANTASIA	D_RAZAO_SOCIAL	D_ENDERECO	D_GEOPOLITICO	D_DOCUMENTO	D_COD_PRODUTO	D_DESCRICAO	M_QUANTIDADE
13486	HIPER DB	SUPERMERCADOS DB LTDA	AV. SAO JOSÉ, 55	SANTA LUZIA                             	589843-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
13486	HIPER DB	SUPERMERCADOS DB LTDA	AV. SAO JOSÉ, 55	SANTA LUZIA                             	591673-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
13486	HIPER DB	SUPERMERCADOS DB LTDA	AV. SAO JOSÉ, 55	SANTA LUZIA                             	640627-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
13486	HIPER DB	SUPERMERCADOS DB LTDA	AV. SAO JOSÉ, 55	SANTA LUZIA                             	640627-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
13486	HIPER DB	SUPERMERCADOS DB LTDA	AV. SAO JOSÉ, 55	SANTA LUZIA                             	644456-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
13277	SUPERMERCADOS DB	SUPERMERCADOS DB LTDA	RUA ESTRELA D'ALVA, 2068	ARACELI                                 	590077-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
1080	SUPER + VOCÊ	SUPERMERCADO VOCE LTDA	AV. PRINCESA ISABEL, 4000	SANTA TEREZA                            	152926	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
1080	SUPER + VOCÊ	SUPERMERCADO VOCE LTDA	AV. PRINCESA ISABEL, 4000	SANTA TEREZA                            	150428	504	EXPOSITOR DE GARRAFAO 18X1              	1
4578	SUPERMERCADO TIBA	SUPERMERCADO TIBA LTDA	RUA MANOEL FELIPE, 2126	ASA BRANCA                              	180351	5155	EXPOSITOR DE GARRAFAO 12X1              	1
8884	SUP. SERRA DO SOL	SUPERMERCADO SERRA DO SOL LTD - EPP	RUA IZIDIO GALDINO DA SILVA, 1738	SEN.HELIO CAMPOS                        	486738-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
8884	SUP. SERRA DO SOL	SUPERMERCADO SERRA DO SOL LTD - EPP	RUA IZIDIO GALDINO DA SILVA, 1738	SEN.HELIO CAMPOS                        	528665-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
4404	SUPER PREÇO 2	SUPERMERCADO NAZARE LTDA	RUA FLAMBOYANT, 1085	JARDIM PRIMAVERA                        	184084	5155	EXPOSITOR DE GARRAFAO 12X1              	1
703	SUPERMERCADO LÍDER	SUPERMERCADO LIDER LTDA	AV. GENERAL ATAÍDE TEIVE, 4979	ASA BRANCA                              	9685	504	EXPOSITOR DE GARRAFAO 18X1              	1
703	SUPERMERCADO LÍDER	SUPERMERCADO LIDER LTDA	AV. GENERAL ATAÍDE TEIVE, 4979	ASA BRANCA                              	9696	5155	EXPOSITOR DE GARRAFAO 12X1              	1
5992	SUP. GAVIÃO 13 DE SETEMBRO	SUPERMERCADO GAVIÃO LTDA.	AV. DA GUIANAS,S/N	13 DE SETEMBRO                          	176213	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
5992	SUP. GAVIÃO 13 DE SETEMBRO	SUPERMERCADO GAVIÃO LTDA.	AV. DA GUIANAS,S/N	13 DE SETEMBRO                          	151198	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
63	SUP. GAVIAO ALVORADA	SUPERMERCADO GAVIAO LTDA.	AV. DOS GARIMPEIROS, 332	ALVORADA                                	73674	504	EXPOSITOR DE GARRAFAO 18X1              	1
7743	SUPERMERCADO BIG BOX 	SUPERMERCADO BIG BOX LTDA ME	RUA SOLÓN RODRIGUES PESSOA, 2031	SANTA LUZIA                             	261457	5155	EXPOSITOR DE GARRAFAO 12X1              	1
568	SUPERMERCADO E PANIF.ECONÔMICO	SUPER. E  PANIF. ECONOMICO LTDA-ME	AV. VIA DAS FLORES, 245	PRICUMA                                 	2010568	5155	EXPOSITOR DE GARRAFAO 12X1              	1
7917	SUP.KITANDA	SOLANGE PERREIRA DE ARAUJO	RUA MANOEL FELIPE,1602	ASA BRANCA                              	254128	504	EXPOSITOR DE GARRAFAO 18X1              	1
751	FEIRA ROMEU CALDAS BOX 1	SILVIO SICSU SILVA	AV. GLAYCON DE PAIVA, 1778	MECEJANA                                	255340	5155	EXPOSITOR DE GARRAFAO 12X1              	1
11167	COMERCIAL J.S	SERGIO DE OLIVEIRA SANTOS	RUA ADAIL OLIVEIRA ROSA, 3242	JARDIM EQUATORIAL                       	504528-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
569	POSTO BANDEIRANTE	SEMALO COMBUSTIVEIS LTDA	AV. DOS BANDEIRANTES	BURITIS                                 	9466	5155	EXPOSITOR DE GARRAFAO 12X1              	1
6280	ALVORADA COM.E SERVIÇOS	SELIENE DA SILVA ME	RUA BENJAMIN PEREIRA DE MELO, 1938	SEN.HELIO CAMPOS                        	201317	504	EXPOSITOR DE GARRAFAO 18X1              	1
1224	SUP.CENTENARIO	SEBASTIAO GOMES  LIMA ME	AV. CENTENÁRIO, 1491 	CENTENARIO                              	168031	504	EXPOSITOR DE GARRAFAO 18X1              	1
6287	SUPER MANOS	SARMENTO E SANTOS COMERCIO LTDA EPP	RUA SILVER, 182	JOQUEI CLUBE                            	150429	5155	EXPOSITOR DE GARRAFAO 12X1              	1
2110	COMERCIAL ITAQUI	SANTOS MOURA E CIA LTDA	AV. DOS IMIGRANTES, 1019	ASA BRANCA                              	9682	5155	EXPOSITOR DE GARRAFAO 12X1              	1
12536	C T BOLOS E BEBIDAS 	SANTOS E MENEZES COMERCIAL LTDA - ME 	AV. GETULIO VARGAS, 7713	SAO VICENTE                             	544647-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
440	COMÉRCIO BANANAL	SANDRA MARIA DA CONCEICAO AMORIM	AV. ESTRELA DALVA, 1688	RAIAR DO SOL                            	261452	504	EXPOSITOR DE GARRAFAO 18X1              	1
312	PANIFICADORA POPULAR	S. RODRIGUES GOMES	RUA PSICULTURA, 350	PSICULTURA                              	16754	504	EXPOSITOR DE GARRAFAO 18X1              	1
8377	DROGARIA SÃO PAULO 2	S. DE S. BRITO E CIA LTDA-ME	RUA SOLON RODRIGUES PESSOA, 1496-A	SANTA LUZIA                             	83771	5155	EXPOSITOR DE GARRAFAO 12X1              	1
1339	DISTRIBUIDORA GELADÃO 	S. C. NUNES-ME	AV. GENERAL ATAÍDE TEIVE	NOVA CANAA                              	21621	5155	EXPOSITOR DE GARRAFAO 12X1              	1
10167	DIST.BEBIDAS.COM S	S P SOARES SANTOS ME	TRAVESSA DOS MACUXIS, 3202	JARDIM EQUATORIAL                       	495672-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
10051	SUPER MACUXI	S C LIRA NETO-EPP	AV. GENERAL ATAIDE TEIVE, 9292	JARDIM EQUATORIAL                       	619073-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
10051	SUPER MACUXI	S C LIRA NETO-EPP	AV. GENERAL ATAIDE TEIVE, 9292	JARDIM EQUATORIAL                       	644469-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
10051	SUPER MACUXI	S C LIRA NETO-EPP	AV. GENERAL ATAIDE TEIVE, 9292	JARDIM EQUATORIAL                       	619073-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
10051	SUPER MACUXI	S C LIRA NETO-EPP	AV. GENERAL ATAIDE TEIVE, 9292	JARDIM EQUATORIAL                       	644469-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
586	COMERCIAL PONTES	ROSIMAR DA SILVA PONTES	RUA N-21, 2108	SEN.HELIO CAMPOS                        	5861	504	EXPOSITOR DE GARRAFAO 18X1              	1
1145	COMÉRCIO E DISTRIBUIDORA RR	ROSILEIA PINTO DE MIRANDA	RUA CD61, 187	JOQUEI CLUBE                            	2011145	5155	EXPOSITOR DE GARRAFAO 12X1              	1
1721	SUPER BC	ROSENILDA SARAIVA ROSA-ME	AV. ESTRELA DALVA, 361	RAIAR DO SOL                            	2011721	504	EXPOSITOR DE GARRAFAO 18X1              	1
4711	DISTRIBUIDORA PIU-PIU	ROSANGELA DA PENHA PAIVA	AV. PADRE ANCHIETA, 437	DR.SILVIO LEITE                         	291910	5155	EXPOSITOR DE GARRAFAO 12X1              	1
6676	COMÉRCIO SAM PARK	ROSANA A RODRIGUES AGUIAR ME	RUA CC-13, 245	CONJUNTO CIDADAO                        	648773-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
9353	ANARÍS DISTRIBUIDORA	ROGERIO DE OLIVEIRA MORAIS	RUA PASTOR ADEMIR NOGUEIRA	PRICUMA                                 	93531	5155	EXPOSITOR DE GARRAFAO 12X1              	1
11636	DIST LA NO CHICO	ROBERTO SOUSA MORAES 703.436.242-49	AV. PRINCESA ISABEL, 3979	SANTA TEREZA                            	516270-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
10199	DIST. ROBERTO	ROBERTINHO ALVES BEZERRA - ME	RUA PADRE ANCHIETA, 1675	DR.SILVIO LEITE                         	495667-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
8655	SUPER KITANDA 2	RICHALISON NASCIMENO SAMETO	AV ATAIDE TEIVE,9292	JARDIM EQUATORIAL                       	86551	5155	EXPOSITOR DE GARRAFAO 12X1              	1
8847	MERCANTIL NORBERTO	RICCA COMERCIO LTDA	AV. SEBASTIÃO DINIZ, 2617	SAO VICENTE                             	88471	5155	EXPOSITOR DE GARRAFAO 12X1              	1
278	MERCANTIL NORBERTO	RICCA COMERCIO LTDA	AV. SURUMÚ, 595	SAO VICENTE                             	149863	5155	EXPOSITOR DE GARRAFAO 12X1              	1
3667	CARAMEL DIST.	RIBEIRO E CASTRO LTDA-ME	RUA ANTÔNIO PINHEIRO FILHO, 1596	CARANA                                  	35454	504	EXPOSITOR DE GARRAFAO 18X1              	1
12723	DIST BEM GELADO	RIBEIRO & SILVA COMERCIO E SERVIÇO LTDA - ME	RUA ELIO MAGALHAES, 736	AEROPORTO                               	561045-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
1258	CASA DE CARNE FRIBOI	RENAN ADRIANO FERNANDO GIRO	RUA JOCA FARIAS, 851	CARANA                                  	200418	504	EXPOSITOR DE GARRAFAO 18X1              	1
4522	SUPERMERCADO ALENCAR I	RANIERE RODRIGUES DA SILVA	RUA JOAQUIM NOGUEIRA, 1506	SANTA LUZIA                             	248241	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
4522	SUPERMERCADO ALENCAR I	RANIERE RODRIGUES DA SILVA	RUA JOAQUIM NOGUEIRA, 1506	SANTA LUZIA                             	252673	504	EXPOSITOR DE GARRAFAO 18X1              	1
6887	MERCEARIA GUSTAVO	RAMOS E VARGAS LTDA	AV. CB. PM. JOSÉ TABIRA DE ALENCAR, 990	CARANA                                  	68871	5155	EXPOSITOR DE GARRAFAO 12X1              	1
2152	DISTRIBUIDORA MAIA	RAIMUNDO NONATO A. VENANCIO	RUA ESTRELA DALVA, 166	RAIAR DO SOL                            	30157	5155	EXPOSITOR DE GARRAFAO 12X1              	1
554	MERCANTIL SÃO RAIMUNDO	RAIMUNDO LIMA DA SILVA	AV. PRINCESA ISABEL, 3124	TANCREDO NEVES                          	2010554	5155	EXPOSITOR DE GARRAFAO 12X1              	1
12337	COMERCIAL UNIAO	RAIMUNDA NONATA DA SILVA PINHO 68756615272	RUA VITOR RIBEIRO DOS SANTOS, 117	BAIRRO UNIAO                            	574725-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
3840	DISTRIBUIDORA GELÃO DO SINAL	RAILDO DA SILVA ARAUJO	AV. PRINCESA ISABEL, 3675	SANTA TEREZA                            	2010384	5155	EXPOSITOR DE GARRAFAO 12X1              	1
6720	MERCA  BOX	RAFAEL FARIAS DE AGUIAR	AV. DAS GUIANAS S/N	13 DE SETEMBRO                          	304749	504	EXPOSITOR DE GARRAFAO 18X1              	1
4615	PÁTIO DAS VERDURAS	RABELO E BEZERRA LTDA ME	RUA ROCHA LEAL, 766	CENTRO                                  	146550	5155	EXPOSITOR DE GARRAFAO 12X1              	1
631	R S  DISTRIBUIDORA	R. S. RIBEIRO-ME	AV. SANTOS DUMONT, 1470	APARECIDA                               	12380	5155	EXPOSITOR DE GARRAFAO 12X1              	1
614	MERCANTIL RAYMARA	R. M. ARAUJO DA SILVEIRA	RUA N-13, 1549	SEN.HELIO CAMPOS                        	291914	5155	EXPOSITOR DE GARRAFAO 12X1              	1
1770	DIST.RG MATOS	R. G. MATOS DA SILVA-ME	RUA S-4, 2508	PINTOLANDIA                             	487544-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
1490	DISTRIBUIDORA PONTO FIXO	R. A. VIANA-ME	AV. PRINCESA ISABEL, 741	LIBERDADE                               	261459	5155	EXPOSITOR DE GARRAFAO 12X1              	1
11973	SUPERMERCADO LEAO	R O MARIANO ME	RUA ODER BRASIL, 328	AEROPORTO                               	532588-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
149	MERCEARIA BRÁZ	R DA SILVA BRAZ	AV. DOS BANDEIRANTES, 733	BURITIS                                 	291913	5155	EXPOSITOR DE GARRAFAO 12X1              	1
4865	PANIFICAD. E CONV. PONTO MANIA	QUEIROZ E MENDES LTDA - ME	RUA SEVERINO SOARES DE FREITAS, 1043	PARAVIANA                               	2014865	504	EXPOSITOR DE GARRAFAO 18X1              	1
8395	POSTO PROVALLE	PROVALLE AUTO POSTO LTDA	AV. GENERAL ATAÍDE TEIVE, 5493	CAMBARA                                 	83951	504	EXPOSITOR DE GARRAFAO 18X1              	1
4228	POSTO MACUXI	POSTO MACUXI LTDA	RUA ADOLFO BRASIL,  2041	SAO FRANCISCO                           	56361	5160	FREEZER VERTICAL 300 LTS                	1
4228	POSTO MACUXI	POSTO MACUXI LTDA	RUA ADOLFO BRASIL,  2041	SAO FRANCISCO                           	556799-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
3741	SUPERMERCADO BIG BOM	PORTELA E SUBRINHO LTDA ME	RUA MANOEL FELIPE, 27	BURITIS                                 	37596	504	EXPOSITOR DE GARRAFAO 18X1              	1
4746	MERCEARIA CEARÁ	PIRAMIDE COMERCIO E SERVICO LTDA ME	RUA FELIPE XAUD, 2684	CAMBARA                                 	2014746	504	EXPOSITOR DE GARRAFAO 18X1              	1
51	COMÉRCIO  J.P	PERCIDIA SANTOS CARNEIRO	RUA S-4 940	DR.SILVIO BOTELHO                       	295977	5155	EXPOSITOR DE GARRAFAO 12X1              	1
5169	DISTRIB.DE BEDIDAS PEDRINHO	PEDRO ROCHA CRUZ	AV. BRIGADEIRO, 2337	SAO BENTO                               	296986	5155	EXPOSITOR DE GARRAFAO 12X1              	1
1527	PANIFICADORA MULTI PÃO	PAULO CEZAR MUCCI-ME	AV. AMAZONAS, 608	BAIRRO DOS ESTADOS                      	119451	5155	EXPOSITOR DE GARRAFAO 12X1              	1
12749	ESPAÇO DOS AMIGOS CONVENIENCIA	P.S.TEIXEIRA BISPO- ME	AV.JOÃO LIBERATO,1039	CARANA                                  	559288-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
1342	DISK GÁS E ÁGUA RORAIMA	P. PAULO BRESSAN TITO-ME	AV. GENERAL ATAÍDE TEIVE, 443	MECEJANA                                	13421	504	EXPOSITOR DE GARRAFAO 18X1              	1
1342	DISK GÁS E ÁGUA RORAIMA	P. PAULO BRESSAN TITO-ME	AV. GENERAL ATAÍDE TEIVE, 443	MECEJANA                                	261460	5155	EXPOSITOR DE GARRAFAO 12X1              	1
392	COMERCIAL PAI E FILHO	OSVALDO DE LIMA FROTA	RUA Z-6, 2979	JARDIM EQUATORIAL                       	36496	504	EXPOSITOR DE GARRAFAO 18X1              	1
392	COMERCIAL PAI E FILHO	OSVALDO DE LIMA FROTA	RUA Z-6, 2979	JARDIM EQUATORIAL                       	154499	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
4308	SUPER 10	OLIVEIRA E MAGALHAES LTDA  EPP	AV. PADRE ANCHIETA, 939	DR.SILVIO LEITE                         	2010430	504	EXPOSITOR DE GARRAFAO 18X1              	1
6774	DISTRIB.PONTO CERTO	NUCINALVA EVANGELISTA MEIRELES	RUA N-21, 2107	SEN.HELIO CAMPOS                        	295978	5155	EXPOSITOR DE GARRAFAO 12X1              	1
3249	CARNES E CIA	N. DE L. AMARAL	RUA NIVALDO C. GUTIERREZ, 772	PINTOLANDIA                             	64867	504	EXPOSITOR DE GARRAFAO 18X1              	1
12184	MERCANTIL RAFAEL	N R DE SOUZA FERREIRA ME	AV. NOSSA SENHORA DE NAZARE, 2082	CAIMBE                                  	535748-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
6702	COMERCIAL GUANABARA	MONTE & COSTA LTDA-ME	RUA LOURIVAL COIMBRA, 2154	PINTOLANDIA                             	507659-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
8304	NOVA MANIA CONVENIENCIA 	MOISES PATRICIO DE MELO 	RUA ESTRELA DALVA, 141	RAIAR DO SOL                            	261509	5219	EXPOSITOR DE GARRAFAO 6X1               	1
1902	PANIFICADORA MAIS CEDO	MJM DE ASSIS ME	AV. SÃO SEBASTIÃO, 973	CAMBARA                                 	565218-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
6468	DISTRIBUIDORA MIKA PLAY	MIKAYL GOMES DO NASCIMENTO	RUA JOSÉ FRANCISCO, 541	JOQUEI CLUBE                            	184083	5155	EXPOSITOR DE GARRAFAO 12X1              	1
2940	COMERCIAL TATI	MESSIAS DA CUNHA REIS	RUA N-17, 1691	SEN.HELIO CAMPOS                        	2012940	5219	EXPOSITOR DE GARRAFAO 6X1               	1
10172	SUPERMERCADO GAVIÃO	MATSDORFF E SANTOS LTDA ME	RUA ESTRELA DÁLVA	RAIAR DO SOL                            	101721	504	EXPOSITOR DE GARRAFAO 18X1              	2
14929	MERCANTIL REI DOS REIS	MATEUS COSTA SOUZA 84052538234	RUA ANTONIETA PEREIRA DE MELO, 51	JOQUEI CLUBE                            	652287-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
682	MARTINS AUTO POSTO	MARTINS & CIA LTDA	AV. SÃO SEBASTIÃO, 1813	SANTA TEREZA                            	270560	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
682	MARTINS AUTO POSTO	MARTINS & CIA LTDA	AV. SÃO SEBASTIÃO, 1813	SANTA TEREZA                            	2010682	504	EXPOSITOR DE GARRAFAO 18X1              	1
11844	POSTO CENTENARIO	MARTINS & CIA	AV. CENTENARIO, 1245	CENTENARIO                              	507417-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
4137	SUPER RANCHO	MARQUES E SOBRINHO LTDA - ME	RUA FELIPE XAUD, 2569	ASA BRANCA                              	180361	5155	EXPOSITOR DE GARRAFAO 12X1              	1
874	CASA ANGELIM	MARINA DE ARAUJO SOUZA-ME	RUA JOCA FARIAS, 1299	CARANA                                  	532560-1	504	EXPOSITOR DE GARRAFAO 18X1              	1
4664	DIST PONTO CERTO J R	MARIA JOSE CARDOSO	RUA NAZARÉ FILGUEIRAS, 551	SEN.HELIO CAMPOS                        	46641	504	EXPOSITOR DE GARRAFAO 18X1              	1
9313	DISTRIBUIDORA GOLD BEER	MARIA DO SOCORRO DURANS REIS NUNES	AV. SÃO JOAQUIM, 1284	DR.SILVIO LEITE                         	93131	5155	EXPOSITOR DE GARRAFAO 12X1              	1
1161	MERCANTIL DO POVO	MARIA APARECIDA ALBUQUERQUE	AV. NOSSA SENHORA DA CONSOLADA, 3476	SAO VICENTE                             	15711	5155	EXPOSITOR DE GARRAFAO 12X1              	1
9007	DISTRIBUIDORA AYMEE	MARCILENE FERREIRA DA COSTA	RUA REGINALDO NEVES, 1594	JARDIM FLORESTA                         	90071	504	EXPOSITOR DE GARRAFAO 18X1              	1
9200	DIST.CANAIMBÉ	MARCELLO BRASIL TEIXEIRA	AV. PRINCESA ISABEL, 2356	CAIMBE                                  	92001	5219	EXPOSITOR DE GARRAFAO 6X1               	1
1871	MERCEARIA CASA NOVA	MANOEL GOMES DE OLIVEIRA	RUA ACARAÇU, 33	SANTA TEREZA                            	30003	5155	EXPOSITOR DE GARRAFAO 12X1              	1
2648	CRI GELO	MANOEL C PINHEIRO	RUA SÓCRATES PEIXOTO, 1048-A	JARDIM FLORESTA                         	148694	504	EXPOSITOR DE GARRAFAO 18X1              	1
1496	COMERCIAL CAMPO CLARO	MANOEL AMADEU DE SOUZA	RUA GUARARAPÊS, 1596	AEROPORTO                               	20230	504	EXPOSITOR DE GARRAFAO 18X1              	1
170	AQUA MAK	MAK PARK EMPREENDIMENTOS TURISTICOS LTDA	RODOVIA BR-174, KM-27	ZONA RURAL                              	147723	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
8601	DIST GELAO DO SINAL	MAILZA MAIA CHAVES	AV PRICENSA ISABEL,3675	SANTA TEREZA                            	86011	5155	EXPOSITOR DE GARRAFAO 12X1              	1
1243	MERCEARIA SOUZA 	M. S. VIEIRA DA CONCEICAO 	RUA OPALA, 21	JOQUEI CLUBE                            	69038	504	EXPOSITOR DE GARRAFAO 18X1              	1
3649	SUPERMERCADO LIMA	M. PIRES LIMA	AV. MAJOR WILLIANS, 197	SAO FRANCISCO                           	2010364	504	EXPOSITOR DE GARRAFAO 18X1              	3
126	ESCOLA CEFET	M. J. B. LIMA - ME 	AV. GLAYCON DE PAIVA	PRICUMA                                 	259385	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
1584	MERCANTIL E PANIF. AJURICABA	M. I. L. DE LIMA	AV. GETÚLIO VARGAS, 4830	SAO PEDRO                               	15729	5155	EXPOSITOR DE GARRAFAO 12X1              	1
153	DISK ÁGUA E GÁS RODRIGUES	M. GLORIA SOUZA-ME	RUA PEDRO PRAÇA, 716	BURITIS                                 	2010153	504	EXPOSITOR DE GARRAFAO 18X1              	1
153	DISK ÁGUA E GÁS RODRIGUES	M. GLORIA SOUZA-ME	RUA PEDRO PRAÇA, 716	BURITIS                                 	295975	504	EXPOSITOR DE GARRAFAO 18X1              	1
153	DISK ÁGUA E GÁS RODRIGUES	M. GLORIA SOUZA-ME	RUA PEDRO PRAÇA, 716	BURITIS                                 	272645	504	EXPOSITOR DE GARRAFAO 18X1              	1
3405	SUPERMERCADO SAO JOSE	M. F. P. FREIRE-ME	RUA CORONEL PINTO, 74, SALA 1	CENTRO                                  	2013405	504	EXPOSITOR DE GARRAFAO 18X1              	1
12517	POSTO GYN	M. DOS A. DA SILVA - ME 	AV. VENEZUELA, 887	PRICUMA                                 	620216-1	5155	EXPOSITOR DE GARRAFAO 12X1              	1
132	DIST.CASA SÃO FRANCISCO	M. D. D. SA E GOES	RUA BETEL, 523	NOVA CANAA                              	2010132	504	EXPOSITOR DE GARRAFAO 18X1              	1
2614	COMERCIALSOUZA	M. ALDA RIBEIRO ME	AV. GENERAL ATAÍDE TEIVE, 9292	JARDIM EQUATORIAL                       	58963	504	EXPOSITOR DE GARRAFAO 18X1              	1
675	MERCANTIL PIMENTEL	M. A. PIMENTEL ME	RUA MAESTRO DIRSON COSTA., 149	CARANA                                  	2010675	5155	EXPOSITOR DE GARRAFAO 12X1              	1
129	PANIFICADORA ART PÃO	M. A. MONTEIRO DE SOUZA	AV. GENERAL ATAÍDE TEIVE, 263	MECEJANA                                	2010129	504	EXPOSITOR DE GARRAFAO 18X1              	1
11851	SUPER AGUIAR	M J FARIAS BARBOSA	AV. DAS GUIANAS, 575	13 DE SETEMBRO                          	509147-1	5311	REFRIG.VERT. 509L PORTA VIDRO           	1
